"","herriak.izena","lema","galdera","pregunta","question","euskalkia","azpieuskalkia","lat","lng","kolorea"
"3365","Aramaio","justuri",44774,"trueno"," tonnerre","mendebalekoa","eki-mendebaldekoa",43.0521188,-2.564711,"green"
"3369","Araotz","justuri",44774,"trueno"," tonnerre","mendebalekoa","eki-mendebaldekoa",42.9917259,-2.4551607,"green"
"3370","Onati","justuri",44774,"trueno"," tonnerre","mendebalekoa","eki-mendebaldekoa",43.0341127,-2.4171658,"green"
"3402","Urdiain","justuri",44774,"trueno"," tonnerre","erdialdekoa","eki-erdialdekoa",42.8889772,-2.1364314,"green"
"3429","Hendaia","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.359399,-1.766148,"green"
"3430","Donibane Lohizune","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.3877260157591,-1.66162102050782,"green"
"3431","Azkaine","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.345172,-1.621327,"green"
"3433","Senpere","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.356582,-1.550488,"green"
"3434","Ahetze","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.405472,-1.5679129,"green"
"3435","Arrangoitze","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.4234844,-1.515114,"green"
"3443","Bardoze","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.4754549,-1.20333,"green"
"3444","Aldude","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.095765,-1.425809,"green"
"3445","Bidarrai","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.265573,-1.350543,"green"
"3446","Baigorri","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.175208,-1.347473,"green"
"3451","Arrueta","iurtzuri",44774,"trueno"," tonnerre","ekialdekoa","sart-ekialdekoa",43.4001075247359,-1.10824891357424,"green"
"3470","Santa Grazi","ihurtzuri",44774,"trueno"," tonnerre","ekialdekoa","eki-ekialdekoa",43.0148627878769,-0.853826691406312,"green"
"3474","Getxo","justuri",44775,"relámpago"," éclair","mendebalekoa","sart-mendebaldekoa",43.3387367,-3.0081319,"red"
"3475","Leioa","justuri",44775,"relámpago"," éclair","mendebalekoa","sart-mendebaldekoa",43.3267036,-2.990057,"red"
"3477","Sondika","justuri",44775,"relámpago"," éclair","mendebalekoa","sart-mendebaldekoa",43.2871618,-2.9325785,"red"
