"Revision","Timestamp","Author","Changeset"
"0","1535093831861","","Z:1>6b|5+6b$Welcome to Etherpad!

This pad text is synchronized as you type, so that everyone viewing this page sees the same text. This allows you to collaborate seamlessly on documents!

Get involved with Etherpad at http://etherpad.org
"
"1","1535093854605","a.ao3KA1J3ReC4HCmy","Z:6c<6b|5-6b$"
"2","1535093882747","a.ao3KA1J3ReC4HCmy","Z:1>1*0+1$P"
"3","1535093883266","a.ao3KA1J3ReC4HCmy","Z:2>2=1*0+2$ro"
"4","1535093883743","a.ao3KA1J3ReC4HCmy","Z:4>1=3*0+1$z"
"5","1535093884279","a.ao3KA1J3ReC4HCmy","Z:5>2=4*0+2$es"
"6","1535093884745","a.ao3KA1J3ReC4HCmy","Z:7>2=6*0+2$ua"
"7","1535093890034","a.ao3KA1J3ReC4HCmy","Z:9>1=8*0+1$ "
"8","1535093891394","a.ao3KA1J3ReC4HCmy","Z:a>2=9*0+2$ho"
"9","1535093891898","a.ao3KA1J3ReC4HCmy","Z:c>2=b*0+2$ne"
"10","1535093892467","a.ao3KA1J3ReC4HCmy","Z:e>1=d*0+1$l"
"11","1535093892970","a.ao3KA1J3ReC4HCmy","Z:f>2=e*0+2$a "
"12","1535093893471","a.ao3KA1J3ReC4HCmy","Z:h>2=g*0+2$la"
"13","1535093893972","a.ao3KA1J3ReC4HCmy","Z:j>2=i*0+2$bu"
"14","1535093894472","a.ao3KA1J3ReC4HCmy","Z:l>1=k*0+1$r"
"15","1535093894970","a.ao3KA1J3ReC4HCmy","Z:m>2=l*0+2$bi"
"16","1535093895472","a.ao3KA1J3ReC4HCmy","Z:o>1=n*0+1$l"
"17","1535093896073","a.ao3KA1J3ReC4HCmy","Z:p>1=o*0+1$ "
"18","1535093896573","a.ao3KA1J3ReC4HCmy","Z:q>3=p*0+3$dai"
"19","1535093897073","a.ao3KA1J3ReC4HCmy","Z:t>3=s*0+3$tek"
"20","1535093897574","a.ao3KA1J3ReC4HCmy","Z:w>1=v*0+1$e"
"21","1535093898788","a.ao3KA1J3ReC4HCmy","Z:x>1=w*0+1$:"
"22","1535093899539","a.ao3KA1J3ReC4HCmy","Z:y>5=x*0|1+1*0+4$
    "
"23","1535093900192","a.ao3KA1J3ReC4HCmy","Z:13>5|1=y=4*0|1+1*0+4$
    "
"24","1535093905512","a.ao3KA1J3ReC4HCmy","Z:18>1|2=13=4*0+1$1"
"25","1535093906020","a.ao3KA1J3ReC4HCmy","Z:19>1|2=13=5*0+1$."
"26","1535093907672","a.ao3KA1J3ReC4HCmy","Z:1a>1|2=13=6*0+1$ "
"27","1535093913392","a.ao3KA1J3ReC4HCmy","Z:1b>1|2=13=7*0+1$E"
"28","1535093914150","a.ao3KA1J3ReC4HCmy","Z:1c>3|2=13=8*0+3$the"
"29","1535093914670","a.ao3KA1J3ReC4HCmy","Z:1f>2|2=13=b*0+2$rp"
"30","1535093915168","a.ao3KA1J3ReC4HCmy","Z:1h>2|2=13=d*0+2$ad"
"31","1535093917903","a.ao3KA1J3ReC4HCmy","Z:1j>1|2=13=f*0+1$ "
"32","1535093918406","a.ao3KA1J3ReC4HCmy","Z:1k>2|2=13=g*0+2$iz"
"33","1535093918905","a.ao3KA1J3ReC4HCmy","Z:1m>3|2=13=i*0+3$ene"
"34","1535093919404","a.ao3KA1J3ReC4HCmy","Z:1p>2|2=13=l*0+2$ko"
"35","1535093919910","a.ao3KA1J3ReC4HCmy","Z:1r>1|2=13=n*0+1$ "
"36","1535093920556","a.ao3KA1J3ReC4HCmy","Z:1s>1|2=13=o*0+1$a"
"37","1535093920995","a.ao3KA1J3ReC4HCmy","Z:1t>1|2=13=p*0+1$p"
"38","1535093921506","a.ao3KA1J3ReC4HCmy","Z:1u<2|2=13=o-2$"
"39","1535093922387","a.ao3KA1J3ReC4HCmy","Z:1s>1|2=13=o*0+1$w"
"40","1535093922884","a.ao3KA1J3ReC4HCmy","Z:1t>1|2=13=p*0+1$e"
"41","1535093923384","a.ao3KA1J3ReC4HCmy","Z:1u>1|2=13=q*0+1$b"
"42","1535093923884","a.ao3KA1J3ReC4HCmy","Z:1v>3|2=13=r*0+3$ ap"
"43","1535093924384","a.ao3KA1J3ReC4HCmy","Z:1y>2|2=13=u*0+2$li"
"44","1535093924886","a.ao3KA1J3ReC4HCmy","Z:20>2|2=13=w*0+2$ka"
"45","1535093925385","a.ao3KA1J3ReC4HCmy","Z:22>3|2=13=y*0+3$zio"
"46","1535093925886","a.ao3KA1J3ReC4HCmy","Z:25>1|2=13=11*0+1$a"
"47","1535093926983","a.ao3KA1J3ReC4HCmy","Z:26>1|2=13=12*0+1$ "
"48","1535093928164","a.ao3KA1J3ReC4HCmy","Z:27>1|2=13=13*0+1$z"
"49","1535093928666","a.ao3KA1J3ReC4HCmy","Z:28>2|2=13=14*0+2$ab"
"50","1535093929166","a.ao3KA1J3ReC4HCmy","Z:2a>2|2=13=16*0+2$al"
"51","1535093929670","a.ao3KA1J3ReC4HCmy","Z:2c>1|2=13=18*0+1$d"
"52","1535093930173","a.ao3KA1J3ReC4HCmy","Z:2d>1|2=13=19*0+1$u"
"53","1535093933910","a.ao3KA1J3ReC4HCmy","Z:2e>1|2=13=1a*0+1$ "
"54","1535093942085","a.ao3KA1J3ReC4HCmy","Z:2f>5|2=13=1b*0|1+1*0+4$
    "
"55","1535093943372","a.ao3KA1J3ReC4HCmy","Z:2k>1|3=2f=4*0+1$2"
"56","1535093943872","a.ao3KA1J3ReC4HCmy","Z:2l>2|3=2f=5*0+2$. "
"57","1535093948618","a.ao3KA1J3ReC4HCmy","Z:2n>1|3=2f=7*0+1$H"
"58","1535093949123","a.ao3KA1J3ReC4HCmy","Z:2o>2|3=2f=8*0+2$el"
"59","1535093949853","a.ao3KA1J3ReC4HCmy","Z:2q>1|3=2f=a*0+1$b"
"60","1535093950353","a.ao3KA1J3ReC4HCmy","Z:2r>3|3=2f=b*0+3$ide"
"61","1535093950851","a.ao3KA1J3ReC4HCmy","Z:2u>3|3=2f=e*0+3$ ho"
"62","1535093951350","a.ao3KA1J3ReC4HCmy","Z:2x>3|3=2f=h*0+3$ri "
"63","1535093952043","a.ao3KA1J3ReC4HCmy","Z:30>1|3=2f=k*0+1$g"
"64","1535093952545","a.ao3KA1J3ReC4HCmy","Z:31>2|3=2f=l*0+2$or"
"65","1535093953043","a.ao3KA1J3ReC4HCmy","Z:33>2|3=2f=n*0+2$de"
"66","1535093957790","a.ao3KA1J3ReC4HCmy","Z:35>1|3=2f=p*0+1$ "
"67","1535093958291","a.ao3KA1J3ReC4HCmy","Z:36>1|3=2f=q*0+1$("
"68","1535093958794","a.ao3KA1J3ReC4HCmy","Z:37>1|3=2f=r*0+1$?"
"69","1535093959289","a.ao3KA1J3ReC4HCmy","Z:38>1|3=2f=s*0+1$)"
"70","1535093959961","a.ao3KA1J3ReC4HCmy","Z:39>5|3=2f=t*0|1+1*0+4$
    "
"71","1535093960911","a.ao3KA1J3ReC4HCmy","Z:3e>1|4=39=4*0+1$3"
"72","1535093961408","a.ao3KA1J3ReC4HCmy","Z:3f>1|4=39=5*0+1$."
"73","1535093962449","a.ao3KA1J3ReC4HCmy","Z:3g>1|4=39=6*0+1$ "
"74","1535093976664","a.ao3KA1J3ReC4HCmy","Z:3h>5|2=13=1b*0|1+1*0+4$
    "
"75","1535093977843","a.ao3KA1J3ReC4HCmy","Z:3m>1|3=2f=4*0+1$2"
"76","1535093978346","a.ao3KA1J3ReC4HCmy","Z:3n>1|3=2f=5*0+1$."
"77","1535093978844","a.ao3KA1J3ReC4HCmy","Z:3o>1|3=2f=6*0+1$ "
"78","1535093979866","a.ao3KA1J3ReC4HCmy","Z:3p>1|3=2f=7*0+1$D"
"79","1535093980366","a.ao3KA1J3ReC4HCmy","Z:3q>2|3=2f=8*0+2$ok"
"80","1535093980868","a.ao3KA1J3ReC4HCmy","Z:3s>3|3=2f=a*0+3$ume"
"81","1535093981370","a.ao3KA1J3ReC4HCmy","Z:3v>4|3=2f=d*0+4$ntu "
"82","1535093981871","a.ao3KA1J3ReC4HCmy","Z:3z>2|3=2f=h*0+2$ba"
"83","1535093982368","a.ao3KA1J3ReC4HCmy","Z:41>2|3=2f=j*0+2$t "
"84","1535093982868","a.ao3KA1J3ReC4HCmy","Z:43>4|3=2f=l*0+4$sort"
"85","1535093983369","a.ao3KA1J3ReC4HCmy","Z:47>1|3=2f=p*0+1$u"
"86","1535093984969","a.ao3KA1J3ReC4HCmy","Z:48>1|3=2f=q*0+1$."
"87","1535093988041","a.ao3KA1J3ReC4HCmy","Z:49<1|4=37=4-1$"
"88","1535093988545","a.ao3KA1J3ReC4HCmy","Z:48>1|4=37=4*0+1$3"
"89","1535093990235","a.ao3KA1J3ReC4HCmy","Z:49<1|5=41=4-1$"
"90","1535093990736","a.ao3KA1J3ReC4HCmy","Z:48>1|5=41=4*0+1$4"
"91","1535093992078","a.ao3KA1J3ReC4HCmy","Z:49>1|5=41=6*0+1$ "
"92","1535093998643","a.ao3KA1J3ReC4HCmy","Z:4a>1|5=41=7*0+1$I"
"93","1535093999145","a.ao3KA1J3ReC4HCmy","Z:4b>3|5=41=8*0+3$dat"
"94","1535093999645","a.ao3KA1J3ReC4HCmy","Z:4e>2|5=41=b*0+2$zi"
"95","1535094013135","a.ao3KA1J3ReC4HCmy","Z:4g>1|5=41=d*0+1$ "
"96","1535094013636","a.ao3KA1J3ReC4HCmy","Z:4h>1|5=41=e*0+1$d"
"97","1535094014133","a.ao3KA1J3ReC4HCmy","Z:4i>3|5=41=f*0+3$oku"
"98","1535094014634","a.ao3KA1J3ReC4HCmy","Z:4l>3|5=41=i*0+3$men"
"99","1535094015133","a.ao3KA1J3ReC4HCmy","Z:4o>1|5=41=l*0+1$t"
"100","1535094015641","a.ao3KA1J3ReC4HCmy","Z:4p>2|5=41=m*0+2$ua"
"101","1535094026912","a.ao3KA1J3ReC4HCmy","Z:4r>5|5=41=o*0|1+1*0+4$
    "
"102","1535094028003","a.ao3KA1J3ReC4HCmy","Z:4w>1|6=4q=4*0+1$5"
"103","1535094029193","a.ao3KA1J3ReC4HCmy","Z:4x>1|6=4q=5*0+1$."
"104","1535094030049","a.ao3KA1J3ReC4HCmy","Z:4y>1|6=4q=6*0+1$ "
"105","1535094033408","a.ao3KA1J3ReC4HCmy","Z:4z>1|6=4q=7*0+1$W"
"106","1535094033906","a.ao3KA1J3ReC4HCmy","Z:50>1|6=4q=8*0+1$e"
"107","1535094034417","a.ao3KA1J3ReC4HCmy","Z:51>1|6=4q=9*0+1$b"
"108","1535094035215","a.ao3KA1J3ReC4HCmy","Z:52>1|6=4q=a*0+1$ "
"109","1535094036069","a.ao3KA1J3ReC4HCmy","Z:53>1|6=4q=b*0+1$h"
"110","1535094036571","a.ao3KA1J3ReC4HCmy","Z:54>2|6=4q=c*0+2$el"
"111","1535094037070","a.ao3KA1J3ReC4HCmy","Z:56>2|6=4q=e*0+2$bi"
"112","1535094038008","a.ao3KA1J3ReC4HCmy","Z:58>1|6=4q=g*0+1$d"
"113","1535094038511","a.ao3KA1J3ReC4HCmy","Z:59>2|6=4q=h*0+2$ea"
"114","1535094039011","a.ao3KA1J3ReC4HCmy","Z:5b>1|6=4q=j*0+1$ "
"115","1535094040805","a.ao3KA1J3ReC4HCmy","Z:5c>1|6=4q=k*0+1$i"
"116","1535094041307","a.ao3KA1J3ReC4HCmy","Z:5d>2|6=4q=l*0+2$ke"
"117","1535094041810","a.ao3KA1J3ReC4HCmy","Z:5f>3|6=4q=n*0+3$rla"
"118","1535094042309","a.ao3KA1J3ReC4HCmy","Z:5i>3|6=4q=q*0+3$ria"
"119","1535094042934","a.ao3KA1J3ReC4HCmy","Z:5l>3|6=4q=t*0+3$ri "
"120","1535094043449","a.ao3KA1J3ReC4HCmy","Z:5o>1|6=4q=w*0+1$p"
"121","1535094043947","a.ao3KA1J3ReC4HCmy","Z:5p>3|6=4q=x*0+3$asa"
"122","1535094044442","a.ao3KA1J3ReC4HCmy","Z:5s>2|6=4q=10*0+2$tu"
"123","1535094047263","a.ao3KA1J3ReC4HCmy","Z:5u>5|6=4q=12*0|1+1*0+4$
    "
